name,description,tech_level,law_level,location,controller,traits,notes,hooks,traveller_interactions,timeline_history
Terminus,"The sector capital and administrative heart of the Third Imperium's frontier. A cosmopolitan world of gleaming arcologies and ancient palaces where noble houses, merchant guilds, and naval officers intersect. Despite its wealth as a trade hub, Terminus relies heavily on imported food due to soil degradation from centuries of industrial agriculture.",9,2,2210,Third Imperium,Star Port A; Medium Gravity; Space Station; City; Food Shortage; Trade Hub,,"[{""title"":""The Missing Grain Convoy"",""description"":""An Imperial Navy grain shipment bound for the lower arcologies never arrived. House logistics wants it found quietly before the rationing riots spread."",""used"":false}]",,
Aurelia Prime,"A densely populated urban world where billions live in towering hive-cities that scrape the clouds. Once a promising colony, overdevelopment has turned Aurelia Prime into a maze of industrial hab-blocks and neon-lit thoroughfares. The Glitterworld Federation maintains strict social order through surveillance and rationing, though the upper spires enjoy luxuries imported from across the sector.",6,4,2408,Glitterworld Federation,Star Port A; Medium Gravity; Planet; Hive,,,,
Kraal-Vor,"Once the modest industrial colony of New Meridian, Kraal-Vor was seized by the Vor'lekai Horde fifteen years ago and transformed into a fortress-world. The original human population now lives as a subjugated labor caste in equatorial factory zones, while the Aslan warrior caste occupies highland fortresses. The atmosphere is thick with industrial particulates, and the night sky glows with captured orbital defense platforms being reverse-engineered.",6,1,2116,Vor'lekai Horde,Star Port B; High Gravity; Polluted; Red Zone; City; Space Station,,,,
Fteirle,"The administrative and economic heart of the Aslan Hierate's presence in the region. Named for the Aslan females who traditionally hold property and manage commerce, Fteirle is a world of vast clan estates, orbital trading posts, and sprawling metropolitan zones where dozens of species conduct business under Aslan law. While males lead military operations, the planet's true power lies in the Fteirle trade councils that control the flow of goods and land-rights.",8,3,3010,Aslan Hierate,Star Port A; Medium Gravity; Planet; Metropolis,,,,
Ferrum Spire,"A pastoral world of vast grain belts, fungal forests, and towering iron-oxide mesas that give the planet its name. Ferrum Spire's low technology level belies its critical importance to the Federation-its genetically engineered crops feed billions on Aurelia Prime and other member worlds. The population lives in scattered agricultural settlements and a single starport city, maintaining a deliberately low-tech lifestyle to minimize environmental impact.",4,2,2508,Glitterworld Federation,Star Port C; Planet; Low Gravity; Settlement; Agriworld; Megafauna; Ruins; Amber Zone,Agriworld supplying Aurelius Prime with all its food needs.,,,
Pons Aeternus,"A harsh, arid world where water is more valuable than platinum. Pons Aeternus exists to extract the rich mineral deposits beneath its crust, particularly rare earth elements crucial to Federation technology. The population is transient-miners, corporate surveyors, and support staff who rotate in and out on short contracts. The asteroid belt is actively mined for ice, which is processed into potable water for the struggling surface outposts.",5,2,2610,Glitterworld Federation,Star Port D; Outpost; Planet; Medium Gravity; Mining Boom; Mining World; Water Scarcity; Asteroid Belt,,,,
Castra Ultima,"A frontier garrison world on the edge of Federation space, Castra Ultima was originally established as a military outpost to guard against Aslan incursion. Over decades, it evolved into a rough-and-tumble city-world where soldiers, mercenaries, and opportunists mingle in dust-choked streets. The black market thrives on stolen military supplies, and a severe drug shortage has made pharmaceuticals the most valuable currency.",4,3,2409,Glitterworld Federation,Star Port D; City; Planet; Medium Gravity; Drug Shortage; Black Market; Dust Storm,,,,
Seveer,"The first world conquered by the Vor'lekai Horde, Seveer was once a modest industrial colony of the Third Imperium. Fifteen years of brutal occupation have reduced its cities to rubble and its people to a subjugated labor force. The Horde uses Seveer as a forge world, churning out weapons, ammunition, and crude war machines in scorched factory complexes. Orbital debris from the initial invasion still clogs the upper atmosphere, making space travel hazardous.",3,4,2312,Vor'lekai Horde,Star Port D; Occupied; Hive; Amber Zone; Orbital Debris; Acid Rain; Forge World; Planet; Ongoing Conflict; Naval Base; Emargoed,"First conquest of the hord. Still ongoing pasification missions, brutal oppression and mass damage to the surface of the world.",,,
Haven's Wake,"A sprawling, chaotic space station built into the corpse of a generation ship that never found its destination. Haven's Wake drifts in the dark between systems, a neutral port where no questions are asked and no laws are enforced beyond the station's thinning hull plates. It is a haven for pirates, smugglers, exiles, and those who have nowhere else to go. The station is suffering from a critical energy crisis as its ancient reactor core degrades.",6,0,2311,,Star Port C; Space Station; City; Criminal Haven; Black Market; Energy Crisis,,,,
Nix,"A polluted, overcrowded industrial world that declared independence from both the Imperium and the Federation decades ago. Nix is a free city-world where guilds, unions, and ethnic enclaves vie for control of the foundries and manufactories. The air is thick with smog, the rivers run with chemical waste, and the streets are a patchwork of competing jurisdictions. Despite the squalor, Nix's factories produce goods that are in demand across the sector.",4,2,2310,,Star Port B; Planet; Medium Gravity; Independent; Metropolis; Polluted; Shipping Shortage; Labor Shortage; Ethnic Tension,,,,
The Shatter,"A lawless asteroid belt littered with the wreckage of a failed corporate mining operation. The only permanent settlement is Port Wreck, a town built inside a hollowed-out asteroid that serves as a freeport for smugglers, scavengers, and those fleeing the law. With no central authority, disputes are settled by the Code of the Belt-a rough consensus enforced by whoever has the biggest guns and the most functional life support.",5,1,2309,,No Star Port; Astroid; Low Gravity; Independent; Freeport; Asteroid Belt; Town; Amber Zone,,,,
