name,level,description
Primitive,0,"No industrial base. Fire, stone, bone, and bronze. Agriculture by hand or animal power. Tribal or feudal organization. Metal is precious; electricity is unknown. The stars are myths or omens."
Industrial,1,"Steam, combustion, and mass production. Factories, railroads, steel hulls, early firearms, telegraph and radio. Powered flight is primitive. Cities are soot-blackened and crowded. Chemistry is advanced, but electronics are crude."
Atomic,2,"Fission power, transistors, early computing. Ballistic missiles, orbital satellites, mainframes. Nuclear weapons may exist. Primitive space probes; maybe a tin-can orbital station. Plastics and early composites enter use."
Early Space,3,"Chemical rockets carry crews to orbit, moons, and nearby planets. Satellites, early space stations, primitive vacc suits. Integrated circuits, advanced ballistics, early polymers. Planetside life has computers and early networks."
Fusion,4,"Controlled fusion provides abundant, clean energy. Early colonies on moons and asteroids. Ion drives and solar sails make intrasystem travel routine, if slow. Large orbital habitats, asteroid mining, advanced alloys."
Gravitic,5,"Anti-gravity technology matures. Gravitic maneuver drives replace reaction thrusters. Flying vehicles, grav belts, and floating arcologies become possible. Advanced ceramics and polymers. Heavy orbital industry."
Interstellar,6,"The Jump Drive breakthrough. J-1 capability allows a ship to transit 1 parsec in one week. First interstellar colonies, first contact with lost worlds or alien species. Jump drives are large, expensive, and require specialized maintenance. This is the dawn of the interstellar age."
Terraforming,7,"Planetary engineering becomes viable. Atmospheric processors, weather control, and ecological seeding can remake hostile worlds over decades. J-1 is now standard and reliable. Interstellar trade routes are established and mapped."
Portable Fusion,8,"Fusion reactors miniaturize. Backpack power plants, compact vehicle reactors, and personal energy weapons become viable. Manufacturing is highly automated. J-2 drives enter limited production."
Late Interstellar,9,"The height of current civilization. J-2 is standard; J-3 exists for military couriers and elite vessels. Advanced AI, neural interfaces, and molecular manufacturing are cutting-edge but available. Ancient technology is studied and partially reverse-engineered. Interstellar society is mature, with standardized trade languages and naval patrols."
